Campaign_ID,Campaign_Name,Business_Line,Target_Segment,Start_Date,End_Date,Channel,Budget,Customers_Targeted,Customers_Responded,Response_Rate,Conversion_Count,Revenue_Generated,AI_Model_Used,Targeting_Data_Source,Data_Quality_Issues_Found,Duplicate_Targets_Pct
CMP-100,Holiday Savings Promo,Retail Banking,Mass Market,45794,45940,Multi-channel,37633,10600,914,0.08622641509433962,317,1126816,MDL-006 (K-Means),T24 export,Missing email,0.31
CMP-101,Premium Card Upgrade,Retail Banking,Affluent,45319,45816,Multi-channel,11461,10139,467,0.04605976920800868,105,76765,,T24 + Salesforce merge,Missing email,0.32
CMP-102,Business Growth Loan,Small Business Banking,Small Business,45761,45761,Multi-channel,13109,2357,63,0.02672889266016122,8,10319,MDL-005 (Recommendation),T24 + Salesforce merge,,0.31
CMP-103,HNW Investment Suite,Retail Banking,High Net Worth,45726,45718,Digital Ads,12315,9990,459,0.04594594594594595,114,230179,,Teradata DW,Missing email,0.15
CMP-104,Merchant Services Push,Small Business Banking,Small Business Premium,45783,45423,SMS,62004,13369,1474,0.11025506769391877,655,1487132,Manual Segmentation,Teradata DW,Incorrect segments,0.26
CMP-105,Digital Banking Adoption,Retail Banking,Mass Market,45408,45478,Direct Mail,64063,6069,447,0.07365299060800791,49,193847,Manual Segmentation,T24 export,Incorrect segments,0.23
CMP-106,CRE Lending Campaign,Commercial Banking,Commercial,45972,45749,Email,29159,14850,863,0.05811447811447811,131,510643,,Salesforce only,Stale addresses,0.24
CMP-107,Auto Loan Spring Sale,Retail Banking,Mass Market,45790,45463,Email,64234,2440,91,0.037295081967213116,19,42850,,T24 + Salesforce merge,Duplicate contacts found,0.39
CMP-108,Business Credit Card,Small Business Banking,Small Business,45926,45658,Branch,18096,1795,67,0.03732590529247911,25,16076,MDL-006 (K-Means),T24 + Salesforce merge,Incorrect segments,0.4
CMP-109,Mortgage Refinance Wave,Retail Banking,Affluent,45585,45895,Email,69819,10147,726,0.0715482408593673,187,927493,Manual Segmentation,Teradata DW,Stale addresses,0.18
CMP-110,Treasury Mgmt Upsell,Commercial Banking,Commercial,45298,45771,SMS,26510,12268,746,0.060808607760026084,153,499583,Manual Segmentation,Salesforce only,Incorrect segments,0.26
CMP-111,Youth Banking Launch,Retail Banking,Mass Market,45452,45417,Email,74768,6164,552,0.08955223880597014,216,93063,MDL-005 (Recommendation),Manual spreadsheet,Missing email,0.3
CMP-112,Insurance Cross-Sell,Retail Banking,Affluent,45787,45798,SMS,40173,14895,675,0.045317220543806644,282,120220,Manual Segmentation,Salesforce only,Stale addresses,0.33
CMP-113,Equipment Finance Push,Commercial Banking,Commercial,45802,45981,Multi-channel,30368,14352,1550,0.10799888517279822,224,210556,MDL-006 (K-Means),Teradata DW,Incorrect segments,0.34
CMP-114,Mobile App Activation,Retail Banking,Mass Market,45510,45410,Branch,43465,13173,787,0.05974341456008502,143,471372,,Salesforce only,Duplicate contacts found,0.33
