PII_Element,Data_Domain,Systems_Present_In,System_Count,Current_Classification,Required_Classification,Encrypted_At_Rest,Encrypted_In_Transit,Access_Controls,Masking_Applied,Retention_Policy,Compliance_Gap,Risk_Level,Remediation_Priority
Full Legal Name,Customer,"T24, Salesforce, Dynamics, Teradata, Encompass, nCino",6,Internal,Confidential,Yes,Yes,Role-based,No,7 years,Classification too low,High,High
Social Security Number,Customer,"T24, Encompass, Teradata, Excel spreadsheets",4,Confidential,Restricted,Partial,Yes,Limited,Partial,Permanent,Stored in unencrypted Excel files,High,High
Date of Birth,Customer,"T24, Salesforce, Encompass, Teradata",4,Internal,Confidential,Yes,Yes,Role-based,No,7 years,Classification too low,High,High
Email Address,Customer,"T24, Salesforce, Dynamics, Marketing DB",4,Public,Internal,No,Partial,None,No,Until opt-out,No classification applied,Critical,Immediate
Phone Number,Customer,"T24, Salesforce, Dynamics, JackHenry",4,Internal,Internal,Yes,Yes,Role-based,No,Active + 2 years,Minimal gap,Low,Low
Home Address,Customer,"T24, Salesforce, Encompass, Teradata, JackHenry",5,Internal,Confidential,Yes,Partial,Role-based,No,7 years,Classification too low; not encrypted in transit in 2 systems,High,High
Account Number,Account,"T24, JackHenry, Teradata, Informatica",4,Confidential,Highly Confidential,Yes,Yes,Role-based,Partial,Active + 7 years,Classification too low,High,High
Credit Score,Credit,"T24, Encompass, nCino, Experian feed, Teradata",5,Internal,Confidential,Partial,Yes,Limited,No,2 years,Unclassified in 2 systems; no masking,Medium,Medium
Annual Income,Credit,"T24, Encompass, nCino, Salesforce",4,Internal,Confidential,Partial,Partial,Limited,No,7 years,Exposed in CRM without need-to-know controls,Medium,Medium
Employment Information,Credit,"Encompass, nCino, Excel",3,None,Confidential,No,No,None,No,Not defined,No classification; no encryption; no retention policy,Critical,Immediate
EIN/Tax ID,Business,"T24, Dynamics, Encompass, Teradata",4,Confidential,Restricted,Yes,Partial,Role-based,Partial,Permanent,Should be Restricted; transit encryption gap,Critical,Immediate
Driver License Number,Customer,"Encompass, OnBase, Excel",3,None,Restricted,No,No,None,No,Not defined,Completely unclassified and unprotected,Critical,Immediate
IP Address (Chatbot),Digital,"Chatbot logs, AWS S3",2,None,Internal,No,Yes,None,No,Not defined,Unclassified; no retention; no access controls,Low,Low
Biometric Data (Mobile),Digital,"Mobile app backend, AWS",2,None,Restricted,Partial,Yes,Limited,No,Not defined,State biometric laws not addressed,Medium,Medium
Transaction History,Transaction,"T24, Teradata, JackHenry, Informatica",4,Internal,Confidential,Yes,Yes,Role-based,No,7 years,Classification too low for financial behaviour data,High,High
Loan Application Data,Credit,"Encompass, nCino, T24, Teradata, Excel",5,Internal,Highly Confidential,Partial,Partial,Limited,No,7 years,"Contains SSN, income, employment - needs higher classification",Medium,Medium
Marketing Preferences,Marketing,"Salesforce, Marketing DB, Excel",3,None,Internal,No,No,None,No,Until opt-out,Consent data unprotected,High,High
Fraud Investigation Notes,Risk,"Falcon, Case management, Excel",3,Confidential,Highly Confidential,Partial,Partial,Limited,No,10 years,Contains customer details; classification too low,High,High
