Report_ID,Report_Name,Regulator,Frequency,Due_Date,Submission_Date,Status,Data_Sources,Source_System_Count,Lineage_Documented,Manual_Adjustments,Resubmission_Count,Last_Examiner_Comment
REG-202,Call Report (FFIEC 031),FFIEC,Quarterly,45708,45774,Submitted,"T24, Teradata, Excel",4,Partial,24,3,Data discrepancies between submission and source systems
REG-203,FR Y-9C Consolidated Report,Federal Reserve,Quarterly,45670,45832,Submitted - Resubmitted,"T24, Teradata, Dynamics",3,Partial,24,2,Source system reconciliation gaps identified
REG-204,HMDA Loan Data,CFPB,Annual,45778,46017,Submitted,"Encompass, T24, nCino, Excel",6,Minimal,9,2,Manual adjustments not adequately documented
REG-205,CRA Data Collection,FFIEC,Annual,45910,45850,Submitted - Resubmitted,"T24, Encompass, Salesforce",3,Not documented,16,0,
REG-206,BSA/AML Suspicious Activity,FinCEN,Ongoing,45786,45684,Submitted - Resubmitted,"Falcon, T24, Teradata",2,Partial,10,2,Source system reconciliation gaps identified
REG-207,Reg E Error Resolution,Federal Reserve,Ongoing,45892,45678,Pending,"T24, JackHenry, Salesforce",3,Not documented,17,2,Data aggregation methodology unclear
REG-208,TILA/RESPA Disclosure,CFPB,Ongoing,45917,45924,In Preparation,"Encompass, T24",4,Minimal,5,1,Unable to trace reported figures back to source
REG-209,Stress Test Data (DFAST),Federal Reserve,Annual,46011,45788,In Preparation,"T24, Teradata, Excel, Dynamics",8,Minimal,18,3,Data aggregation methodology unclear
REG-210,Large Exposure Reporting,Federal Reserve,Quarterly,45966,45846,Submitted,"T24, Dynamics, Teradata",3,Not documented,5,1,Manual adjustments not adequately documented
REG-211,Liquidity Coverage Ratio,Federal Reserve,Monthly,46000,45782,Submitted - Resubmitted,"T24, Teradata, Excel",5,Minimal,19,0,
REG-212,Fair Lending Analysis,CFPB/DOJ,Annual,45766,45720,In Preparation,"Encompass, nCino, T24, Excel, Salesforce",6,Minimal,16,1,Unable to trace reported figures back to source
REG-213,CECL/ACL Reporting,FASB/FFIEC,Quarterly,45733,46010,Submitted - Resubmitted,"T24, Teradata, Excel",4,Not documented,7,0,
